time,unbiased,steered,coupled,TAMD
0.00000,-4.98947,-4.99147,-5.00574,-5.01043
0.10000,-4.94365,-4.86500,-4.93725,-5.22554
0.20000,-5.30148,-4.85964,-4.96510,-5.28938
0.30000,-5.55365,-4.76947,-5.02812,-5.46648
0.40000,-5.58762,-4.83500,-4.99687,-5.35418
0.50000,-5.55250,-5.04724,-5.23563,-5.22578
0.60000,-5.70428,-4.99780,-5.25656,-5.05064
0.70000,-5.64858,-5.09069,-5.39988,-5.06845
0.80000,-5.20500,-5.09671,-5.12950,-5.29717
0.90000,-4.91718,-4.91688,-5.32571,-5.32907
1.00000,-5.01661,-4.82224,-4.93024,-5.65344
1.10000,-4.88696,-5.01289,-4.74704,-5.62818
1.20000,-5.14278,-5.24410,-4.56951,-5.72314
1.30000,-5.14536,-5.33775,-4.22569,-5.64197
1.40000,-5.15105,-5.17339,-4.08218,-5.80947
1.50000,-4.94056,-5.34656,-4.48171,-5.88647
1.60000,-4.81850,-5.61956,-4.23578,-5.92495
1.70000,-4.82644,-5.59435,-4.00515,-6.09510
1.80000,-4.92807,-5.29006,-4.05992,-6.01399
1.90000,-4.66706,-5.37673,-4.07436,-5.63246
2.00000,-4.70467,-5.48602,-4.38305,-5.78990
2.10000,-4.56688,-5.63939,-4.53117,-5.51001
2.20000,-4.84043,-5.76553,-4.64875,-5.55958
2.30000,-4.74962,-5.40081,-4.54750,-5.58367
2.40000,-4.53519,-5.38610,-4.56753,-5.63854
2.50000,-4.58732,-5.40728,-4.87855,-5.74397
2.60000,-4.45544,-5.33225,-5.27730,-6.07491
2.70000,-4.37062,-5.38666,-5.29727,-5.91101
2.80000,-4.21448,-5.28585,-5.13110,-5.63773
2.90000,-4.48559,-5.03278,-5.27990,-5.82013
3.00000,-4.60856,-4.79058,-5.13705,-5.68670
3.10000,-4.76285,-4.61540,-5.36953,-5.68837
3.20000,-4.49930,-4.17940,-5.30906,-5.55971
3.30000,-4.60469,-4.34639,-5.40851,-5.59180
3.40000,-4.77748,-4.55224,-5.52742,-5.67732
3.50000,-4.93542,-4.65074,-5.54408,-5.88627
3.60000,-4.79427,-4.62257,-5.52122,-6.11459
3.70000,-4.93354,-4.63137,-5.56185,-6.14179
3.80000,-4.84979,-4.50064,-5.30968,-5.62372
3.90000,-4.77314,-4.42864,-5.21063,-5.59523
4.00000,-4.70326,-4.72849,-5.24365,-5.54724
4.10000,-4.50397,-4.83948,-5.50096,-5.39771
4.20000,-4.24560,-4.73441,-5.37622,-5.06527
4.30000,-3.90783,-4.31194,-5.87665,-4.59835
4.40000,-3.88786,-4.37230,-5.49269,-4.77379
4.50000,-4.16833,-4.90611,-5.42349,-4.86697
4.60000,-4.49607,-4.95650,-5.11917,-4.81547
4.70000,-4.61597,-5.03504,-5.15936,-4.48605
4.80000,-4.51731,-5.01849,-4.93265,-4.71657
4.90000,-4.55484,-4.89068,-4.92333,-4.73014
5.00000,-4.64622,-4.81316,-5.10713,-4.63722
5.10000,-4.60204,-4.97126,-5.04063,-4.44491
5.20000,-5.05375,-4.75728,-5.04093,-3.77666
5.30000,-5.08543,-4.95408,-5.03576,-3.80186
5.40000,-5.28243,-4.88509,-5.27460,-3.94885
5.50000,-5.19571,-5.00387,-5.35337,-3.65994
5.60000,-5.07459,-5.17623,-5.38601,-4.01883
5.70000,-4.92553,-5.06155,-5.11173,-3.86707
5.80000,-5.09507,-4.73093,-4.97390,-4.01595
5.90000,-4.60877,-4.84268,-5.34986,-4.42263
6.00000,-4.61892,-4.97412,-5.51192,-4.89426
6.10000,-4.81582,-4.68116,-5.34361,-4.98526
6.20000,-5.02827,-4.51762,-5.08190,-5.29070
6.30000,-5.31294,-4.37256,-5.05259,-5.05333
6.40000,-5.47349,-4.32099,-5.23141,-4.83374
6.50000,-5.58806,-4.22613,-5.27997,-4.80730
6.60000,-5.57326,-3.90720,-5.16966,-4.69170
6.70000,-5.62110,-4.57691,-5.37934,-4.87869
6.80000,-5.49917,-4.72149,-5.67147,-4.88150
6.90000,-5.37455,-4.85793,-5.65502,-4.82956
7.00000,-5.27966,-4.67044,-5.32900,-5.17276
7.10000,-5.17459,-4.66321,-5.23336,-5.08965
7.20000,-5.27634,-4.31959,-5.31960,-4.96841
7.30000,-5.25080,-4.33741,-5.50545,-5.06035
7.40000,-5.36607,-4.48547,-5.57530,-5.13544
7.50000,-5.60160,-4.31350,-5.70868,-5.02777
7.60000,-5.34645,-4.27481,-5.57175,-4.72660
7.70000,-5.29244,-4.32730,-5.60690,-4.83446
7.80000,-5.39277,-4.42173,-5.38573,-4.70248
7.90000,-5.58033,-4.39083,-5.41579,-4.49249
8.00000,-5.38347,-4.50829,-5.49619,-4.94860
8.10000,-5.67606,-4.82531,-5.35510,-4.99219
8.20000,-5.24915,-4.81015,-5.47727,-4.92427
8.30000,-5.80837,-4.63270,-5.39407,-4.75801
8.40000,-5.86582,-4.74511,-5.57822,-4.80091
8.50000,-5.68678,-4.91324,-5.30469,-4.48398
8.60000,-5.59460,-4.79617,-5.47767,-4.62458
8.70000,-5.33309,-4.75904,-5.41902,-4.61343
8.80000,-5.07899,-4.85937,-5.55950,-4.58191
8.90000,-5.25667,-5.00425,-5.65378,-4.76738
9.00000,-5.44839,-5.16500,-5.95311,-4.74201
9.10000,-5.57345,-5.16311,-6.09485,-4.40048
9.20000,-5.73011,-5.06707,-6.21622,-4.61516
9.30000,-5.51231,-4.81127,-6.02960,-4.51858
9.40000,-5.63796,-4.56929,-6.12723,-4.96397
9.50000,-5.46980,-4.97993,-6.14474,-5.13184
9.60000,-5.49108,-4.88518,-5.67531,-4.72522
9.70000,-5.23138,-4.89390,-5.83747,-4.53278
9.80000,-5.09372,-4.90155,-5.42885,-4.48504
9.90000,-5.22886,-5.03309,-5.30759,-4.83090
10.00000,-5.31089,-5.42656,-5.41961,-4.65412
10.10000,-5.00570,-5.58095,-5.57943,-4.65988
10.20000,-5.22863,-5.32271,-5.66743,-4.61287
10.30000,-5.31387,-5.21914,-5.57178,-4.66171
10.40000,-5.08383,-5.31163,-5.91058,-4.60847
10.50000,-5.04017,-5.31156,-5.65523,-4.79356
10.60000,-4.92742,-5.48390,-5.39947,-4.81089
10.70000,-5.16430,-5.30026,-5.47469,-5.06992
10.80000,-5.20426,-5.20898,-5.45593,-4.90704
10.90000,-5.50181,-5.14541,-5.44255,-4.66766
11.00000,-5.49355,-5.25843,-5.39399,-4.87936
11.10000,-5.53449,-5.39415,-4.92973,-4.65455
11.20000,-5.00882,-5.27832,-5.00788,-4.73434
11.30000,-5.14135,-5.36592,-4.48085,-4.76674
11.40000,-5.06322,-5.47832,-4.89460,-4.86940
11.50000,-5.16451,-5.43724,-5.24672,-4.98072
11.60000,-5.22343,-5.42615,-5.37861,-4.82950
11.70000,-5.03584,-5.08930,-5.62774,-4.89116
11.80000,-4.83850,-4.79685,-5.86724,-4.93290
11.90000,-5.06748,-4.88612,-6.05258,-5.17789
12.00000,-5.12165,-4.93140,-6.07220,-5.51993
