time,UnbiasedBD,Steered,Coupled,TAMD,Hot
0.00000,-5.02944,-5.03414,-4.99883,-4.99887,-4.99887
10.00000,-5.98832,-4.97720,-4.11046,-4.43540,-6.91567
20.00000,-5.00812,-5.64016,-5.06442,-5.46819,-7.96520
30.00000,-4.47362,-4.84056,-4.79811,-5.02109,-9.54653
40.00000,-5.64985,-5.34753,-5.10330,-6.00596,-5.17978
50.00000,-3.81523,-5.18173,-5.26879,-7.42290,7.97082
60.00000,-4.69191,-5.56271,-5.48804,-7.11281,26.46805
70.00000,-5.16749,-5.02570,-5.11107,-7.85056,55.58254
80.00000,-5.27611,-4.96464,-3.21482,-7.73666,100.77759
90.00000,-4.82017,-5.09976,-3.68580,-8.15453,141.94289
100.00000,-4.70833,-5.00528,-5.27119,-8.38446,193.58978
110.00000,-4.92456,-4.83982,-4.59601,-8.35548,247.74380
120.00000,-4.60774,-5.00063,-4.78501,-8.20494,300.07354
130.00000,-3.98936,-4.69601,-5.68762,-8.36041,352.50721
140.00000,-4.76511,-5.16350,-4.25897,-8.38151,404.87037
150.00000,-4.86476,-4.39864,-5.23184,-7.71960,450.52563
160.00000,-4.89438,-5.15897,-3.62671,-7.28759,488.17153
170.00000,-5.04844,-5.25765,-4.79926,-6.80060,519.53790
180.00000,-5.60369,-4.68597,-5.14298,-6.18514,538.30155
190.00000,-5.09673,-4.54484,-5.30009,-6.66072,556.46488
200.00000,-5.69343,-5.11125,-5.30602,-6.73504,581.13720
210.00000,-5.30876,-5.63344,-5.50487,-6.87746,598.75896
220.00000,-5.38145,-5.33226,-4.74086,-6.58716,616.62159
230.00000,-4.94607,-4.99454,-4.76448,-6.48972,633.11835
240.00000,-4.29085,-5.19482,-5.57817,-6.03593,643.13581
250.00000,-4.95284,-5.16861,-5.01510,-6.08682,653.12397
260.00000,-6.02396,-5.19296,-5.16931,-6.62034,665.55964
270.00000,-5.66150,-4.84789,-4.75396,-6.04171,678.41384
280.00000,-5.38963,-4.79867,-5.37856,-6.31750,692.75117
290.00000,-5.80203,-5.64277,-4.59560,-6.48437,712.32596
300.00000,-5.09497,-5.53009,-4.07114,-6.99459,741.05273
310.00000,-4.90071,-5.62866,-4.92549,-7.05900,771.71610
320.00000,-5.85269,-4.81430,-4.35063,-7.16323,804.57960
330.00000,-4.56479,-5.62671,-5.01354,-5.81980,828.59810
340.00000,-5.25936,-5.27726,-4.73325,-7.22837,853.29931
350.00000,-5.33780,-5.20878,-5.64958,-8.16043,898.58381
360.00000,-4.68927,-5.77292,-5.07951,-7.30433,941.28430
370.00000,-4.99186,-5.00615,-4.67230,-7.27634,981.17022
380.00000,-5.62724,-5.56906,-3.11918,-6.91621,1013.06338
390.00000,-4.52252,-5.50782,-4.55339,-6.36565,1028.97376
400.00000,-4.66577,-5.24645,-5.17282,-6.85394,1046.74512
410.00000,-4.26380,-4.73453,-4.91626,-7.17721,1074.01553
420.00000,-4.96770,-4.18893,-4.60253,-5.91450,1099.95229
430.00000,-5.57258,-4.79474,-5.03547,-6.21435,1119.08998
440.00000,-4.03056,-5.73763,-3.60640,-7.04551,1139.65994
450.00000,-4.21557,-5.20289,-4.91517,-6.96716,1165.14820
460.00000,-4.67913,-5.20105,-4.83834,-7.52266,1195.19692
470.00000,-5.71069,-4.50672,-5.09087,-6.81234,1221.21271
480.00000,-6.03762,-4.46462,-5.61006,-7.19904,1245.64640
490.00000,-4.95705,-4.87739,-4.56050,-7.47527,1275.59171
500.00000,-5.06378,-5.16399,-4.73351,-7.79538,1307.08118
510.00000,-4.97221,-4.98575,-5.37211,-8.07106,1352.27144
520.00000,-4.92513,-5.26564,-4.40256,-7.82352,1406.50053
530.00000,-3.45384,-4.47274,-4.40357,-8.60810,1468.14028
540.00000,-5.17790,-5.08399,-5.42036,-8.23950,1533.76910
550.00000,-5.69103,-5.34861,-4.27941,-8.19265,1592.08544
560.00000,-5.29934,-4.43348,-5.07962,-9.05832,1648.76062
570.00000,-5.68105,-5.24709,-5.84901,-8.15252,1706.80968
580.00000,-5.01491,-4.52312,-4.79602,-7.98410,1760.92445
590.00000,-4.74847,-4.44210,-4.67609,-8.25950,1809.31135
600.00000,-5.22522,-5.09220,-4.48650,-7.99437,1851.48108
610.00000,-5.52037,-5.10801,-5.37644,-7.95114,1892.46635
620.00000,-4.78853,-4.78667,-4.23287,-7.63540,1932.01754
630.00000,-5.61727,-5.13471,-4.88771,-7.65809,1975.64848
640.00000,-5.56028,-4.92775,-4.74023,-7.69616,2019.61224
650.00000,-5.02007,-5.74351,-4.89844,-7.77160,2056.45167
660.00000,-5.20173,-5.58293,-5.89917,-7.65219,2092.53841
670.00000,-5.63873,-5.12980,-4.70550,-8.23880,2135.51891
680.00000,-5.38723,-4.44349,-4.34325,-7.51997,2177.94036
690.00000,-5.47136,-4.96252,-4.17173,-7.76759,2222.16437
700.00000,-5.52179,-5.00150,-5.01363,-8.17791,2280.38552
710.00000,-5.63261,-5.67355,-5.35810,-8.40402,2339.69757
720.00000,-5.52063,-4.10351,-4.55414,-8.37821,2390.59769
730.00000,-5.39118,-4.84486,-5.60017,-8.06878,2440.89551
740.00000,-5.45484,-5.18888,-5.25896,-7.47385,2491.28445
750.00000,-5.50737,-4.98982,-4.96627,-6.32465,2520.11825
760.00000,-4.19098,-4.90694,-5.20853,-6.65865,2543.21945
770.00000,-4.99105,-4.88126,-4.61090,-5.26773,2555.97066
780.00000,-5.04985,-4.72237,-5.21915,-5.12236,2554.18665
790.00000,-4.97963,-5.12770,-4.04074,-4.37580,2553.37616
800.00000,-5.18281,-4.23189,-4.56772,-5.06870,2553.53995
810.00000,-5.50624,-4.89896,-5.32091,-5.44566,2555.74498
820.00000,-5.50615,-5.38953,-4.84079,-4.28330,2554.50287
830.00000,-4.66612,-5.40445,-4.63407,-4.97219,2553.16530
840.00000,-5.10122,-4.72263,-4.40455,-4.66785,2549.83689
850.00000,-5.40692,-5.08665,-4.56784,-5.21308,2549.55981
860.00000,-4.84215,-4.64653,-4.50019,-5.10419,2555.46027
870.00000,-4.96085,-4.49539,-5.20970,-4.76584,2560.17594
880.00000,-4.30825,-4.73515,-4.26106,-4.97479,2559.50858
890.00000,-5.06665,-5.28151,-5.28738,-4.99382,2561.45695
900.00000,-5.76570,-5.10965,-4.42378,-3.79113,2559.00186
910.00000,-4.36007,-4.53730,-4.52100,-3.47410,2552.45326
920.00000,-4.56616,-3.99937,-5.55447,-3.82031,2544.89117
930.00000,-4.82006,-4.68941,-4.91693,-4.61895,2539.35505
940.00000,-3.09208,-4.37395,-4.99155,-4.48405,2537.61680
950.00000,-4.79147,-5.50871,-5.00454,-3.55121,2533.23445
960.00000,-5.79856,-5.22823,-4.82320,-4.12710,2528.27991
970.00000,-4.69051,-4.50002,-4.20666,-5.30081,2523.70056
980.00000,-4.79283,-5.38174,-4.81750,-5.00609,2529.76994
990.00000,-5.29446,-5.18441,-3.95053,-5.11057,2532.29154
1000.00000,-4.72213,-4.60802,-5.14994,-5.20100,2532.01594
1010.00000,-5.55706,-4.61525,-4.45251,-5.26676,2528.05739
1020.00000,-5.03221,-4.75667,-5.87464,-4.98859,2529.81559
1030.00000,-5.36824,-4.57285,-4.42810,-6.30024,2535.11679
1040.00000,-4.84403,-4.60318,-5.96453,-6.42624,2538.06027
1050.00000,-4.93922,-5.25345,-5.11599,-6.82890,2552.21261
1060.00000,-3.80705,-4.67069,-5.08555,-6.50036,2569.49611
1070.00000,-4.43957,-4.68236,-5.00831,-5.94707,2584.54815
1080.00000,-3.86539,-4.74145,-5.34580,-5.17408,2587.43267
1090.00000,-4.67441,-4.95708,-4.85258,-3.91940,2585.31662
1100.00000,-5.03040,-4.45840,-4.54669,-4.89892,2583.84395
1110.00000,-4.67840,-4.33044,-5.09981,-5.45188,2586.95301
1120.00000,-4.71920,-5.49592,-5.51394,-4.97537,2588.83706
1130.00000,-4.63295,-4.71785,-5.11600,-4.95014,2586.26863
1140.00000,-5.19392,-4.68806,-5.34769,-5.04252,2589.52955
1150.00000,-5.84297,-4.89546,-5.10765,-5.87799,2597.22876
1160.00000,-5.60601,-4.77756,-5.15244,-5.01463,2603.58967
1170.00000,-4.63972,-4.65368,-4.68273,-6.09680,2610.74692
1180.00000,-5.13713,-5.47386,-3.60313,-6.52239,2625.56633
1190.00000,-5.04636,-5.17223,-5.32042,-7.02068,2651.30870
1200.00000,-5.47413,-4.66461,-4.82627,-7.50445,2682.89028
1210.00000,-5.82009,-4.49463,-4.19537,-6.72362,2710.41406
1220.00000,-5.67247,-4.67932,-3.74185,-6.78940,2735.41553
1230.00000,-5.27458,-4.94761,-4.54399,-7.07234,2762.71758
1240.00000,-4.89626,-4.25074,-4.92498,-6.63577,2779.62844
1250.00000,-5.14226,-4.39468,-5.41052,-6.20453,2791.71639
1260.00000,-4.76255,-4.73041,-5.04018,-6.45735,2812.09733
1270.00000,-4.46279,-4.81289,-4.99155,-6.57520,2833.59996
1280.00000,-5.11638,-4.76683,-3.64687,-7.07469,2851.38328
1290.00000,-4.45562,-4.32310,-5.18137,-6.00558,2866.68489
1300.00000,-5.87756,-3.82749,-5.17650,-7.05982,2884.57541
1310.00000,-5.13923,-4.50946,-4.46816,-7.08243,2910.40121
1320.00000,-4.22623,-3.98793,-4.50306,-6.46709,2924.89018
1330.00000,-5.02661,-4.92442,-4.29833,-6.85366,2943.72692
1340.00000,-4.69569,-5.11449,-4.83750,-6.61544,2965.55469
1350.00000,-4.95268,-4.48505,-4.54031,-7.12386,2990.94193
1360.00000,-5.36175,-4.41368,-3.34940,-7.44249,3021.99611
1370.00000,-5.01872,-4.66403,-3.95582,-7.95746,3064.20079
1380.00000,-4.54065,-4.07424,-4.01925,-7.21275,3105.00159
1390.00000,-5.30327,-4.63216,-3.40993,-7.08436,3137.61971
